type,location,bed,address,total_sqft,bath,price
House for sale,Kings County,5,9223 Ridge Blvd,2000,2,2570000
Co-op for sale,The Bronx,1,601 Pelham Pkwy N Apt 408,900,1,225000
Co-op for sale,Queens,1,143-43 41 Ave Unit 4G,900,1,345000
House for sale,Kings County,5,1646 E 54th St,1974,2,875000
Pending,Queens County,7,86-17 105th St,2184.207862,2,1188000
Co-op for sale,Brooklyn,2,345 Montgomery St Apt 4N,2184.207862,1,694000
Co-op for sale,New York,1,27 E 65th St Apt 2E,2184.207862,1,495000
Co-op for sale,New York,1,400 E 56th St Apt 25K,687,1,649000
Condo for sale,Brooklyn,2,39 Argyle Rd Apt 4B,714,1,659000
Co-op for sale,Brooklyn,2,160 72nd St Apt 758,850,1,429000
Pending,Queens,2,27110 Grand Central Pkwy Apt 30O,1719,2,959000
Multi-family home for sale,Kings County,12,213 Suydam St,4125,6,1299999
Condo for sale,Queens,3,2 Bay Club Dr Apt 21H,2184.207862,1,368000
House for sale,Richmond County,3,74 Appleby Ave,1633,2,758800
Condo for sale,Brooklyn,2,180 Front St Apt 7F,1245,2,1795000
Condo for sale,New York County,5,1295 Madison Ave,4179,2.373860858,21500000
Multi-family home for sale,Queens County,5,41-33 68 St,2184.207862,3,1595000
Townhouse for sale,New York County,7,156 E 71st St,2184.207862,5,6500000
Multi-family home for sale,Queens County,4,196-11 100 Ave,2184.207862,3,1089000
Condo for sale,Queens,1,42-37 27th St Unit 5B,2184.207862,1,735000
Pending,Queens County,2,158-11 96th St,1217,1,559900
Co-op for sale,New York,1,340 Haven Ave Apt 6A,2184.207862,1,350000
Condo for sale,Queens County,3,32-05 Linden Pl Unit A3,1236,3,780000
Co-op for sale,Queens,3,76-26 113 St Unit 1B,500,1,173000
House for sale,Richmond County,4,43 Sunnyside Ter,2200,2,995000
Multi-family home for sale,Queens County,4,147-37 230th St,2184.207862,2,775000
Condo for sale,New York,1,635 W 42nd St Apt 30A,800,1,1649000
Multi-family home for sale,Queens County,5,44-12 65th St,2184.207862,3,1290000
House for sale,Bronx County,3,920 Harding Park,1390,1,575000
House for sale,Queens County,7,120-47 Sunrise Ct,2184.207862,6,1499000
Co-op for sale,Brooklyn,2,100 Avenue P Apt 1H,1200,1,800000
Co-op for sale,New York County,1,120 E 36th St Ph B,2184.207862,1,750000
Condo for sale,Brooklyn,2,199 Conover St Unit 2B,1320,2,1750000
Condo for sale,New York,2,30 Orchard St Ph B,1488,2,2750000
Condo for sale,New York,1,70 W 139th St Apt 8I,2184.207862,1,698000
Co-op for sale,New York,1,333 E 66th St Apt 9R,2184.207862,1,425000
Condo for sale,New York,5,24 Leonard St Apt 2,4859,6,26000000
Condo for sale,New York,2,527 W 27th St Unit 5S,1997,2,3999999
Condo for sale,New York,3,166 E 63rd St Apt 10C,1615,3,2295000
Multi-family home for sale,Richmond County,3,179 Ada Dr,2448,4,689900
House for sale,Kings County,4,105 Franklin St,4374,4,3850000
Co-op for sale,The Bronx,2,8 Fordham Hill Oval Apt 12C,965,1,243000
Co-op for sale,New York,4,453 Fdr Dr Unit C803-804,2184.207862,2,1995000
Co-op for sale,Queens,3,5128 30th Ave Apt 5H,2184.207862,1,250000
House for sale,Queens County,4,202-08 100th Ave,2184.207862,2,845000
Multi-family home for sale,Bronx County,8,2120 Newbold Ave,1896,3,915000
Condo for sale,Queens County,1,2962847 33 48th St Unit 4G,826,1,599888
Co-op for sale,Queens,2,99-30 59 Ave Unit L1,2184.207862,1,325000
Townhouse for sale,Kings County,4,30 Cedar St,2184.207862,2,999000
Condo for sale,Brooklyn,3,844 50th St Apt 5A,982,2,688000
House for sale,Bronx County,3,133 W 195th St,1308,2,950000
Co-op for sale,Queens,1,99-60 63rd Rd Unit 9P,750,1,249000
Co-op for sale,New York,1,444 E 52nd St Apt 6E,2184.207862,1,465000
Multi-family home for sale,Kings County,7,444 78th St,3700,8,2499000
Condo for sale,Queens,1,132-18 Avery Ave Unit 3D,559,1,409000
Condo for sale,Queens,2,142-25 37th Ave Unit 6B,750,2,630000
Multi-family home for sale,Kings County,7,444 78th St,3700,8,2499000
Condo for sale,Brooklyn,2,139 Grove St Apt 4F,915,2,874000
Condo for sale,New York County,4,30 E 76th St Unit Ph,2184.207862,4,4995000
Co-op for sale,New York,2,114 E 90th St Unit 1D,2184.207862,2,875000
Co-op for sale,New York,2,255 W End Ave Apt 7B,2184.207862,2,975000
Multi-family home for sale,Kings County,12,24 Fiske Pl,2184.207862,4,5975000
Co-op for sale,New York,3,626 W 136th St Apt 4,2184.207862,1,475000
Co-op for sale,New York,1,677 W End Ave Apt 13C,2184.207862,1,975000
House for sale,Queens County,9,104-14 37th Ave,2184.207862,4,1548000
Co-op for sale,Queens,1,164-20 Highland Ave Unit 9D,627,1,175000
Condo for sale,Brooklyn,1,90 Furman St Unit N810,1600,2,3000000
Condo for sale,New York,1,15 W 53rd St Unit 14G,1427,2,2400000
Townhouse for sale,New York County,5,184 E 75th St,6000,2.373860858,14995000
House for sale,Queens County,4,26-50 211th St,2184.207862,4,988000
Co-op for sale,Queens,1,69-09 108th St Unit 312,850,1,299999
Co-op for sale,The Bronx,2,757 E 169th St Apt 2A,1100,1,120000
Condo for sale,New York,3,128 W 26th St Fl 3,1376,2,1995000
Townhouse for sale,New York County,3,449 Convent Ave Unit Townhouse,2184.207862,2.373860858,1300000
Condo for sale,Queens County,3,133 Beach 116th St # F,1625,2,1400000
Condo for sale,Brooklyn,1,659 Putnam Ave # 1,941,2.373860858,1080000
House for sale,Kings County,3,3026 Brighton 7th St,2184.207862,2.373860858,1175000
Co-op for sale,New York,1,400 E 59th St Apt 16B,2184.207862,1,670000
Land for sale,New York,3,199th St,2184.207862,2.373860858,75000
House for sale,Queens County,5,64-16 Beach Front Rd,3200,4,1499000
House for sale,Richmond County,4,16 Monroe Pl,2173,2,1200000
Multi-family home for sale,Kings County,5,180 Clermont Ave,2184.207862,3,3299000
Multi-family home for sale,New York County,7,439 E 116th St,2660,4,2500000
House for sale,Kings County,3,935 E 32nd St,2184.207862,2,799000
House for sale,Bronx County,4,405 Turneur Ave,1866,2,715000
Condo for sale,New York,2,77 E 110th St Apt 6A,1033,2,925000
Multi-family home for sale,Bronx County,5,4251 Carpenter Ave,3327,3,750000
Condo for sale,Manhattan,2,20 W 64th St Unit 18K,1372,2,2795000
Multi-family home for sale,Kings County,5,1919 67th St,2184.207862,2,1560000
Co-op for sale,New York County,3,340 E 72nd St Unit Ph,2184.207862,3,4650000
Multi-family home for sale,Bronx County,8,2138 Gleason Ave,3312,3,1100000
Pending,Queens County,3,250-38 39th Rd,1900,2,780000
Co-op for sale,New York,2,52 E 78th St Unit 3C,1000,2,1199000
Condo for sale,Brooklyn,3,60 Broadway Apt 8J,1912,2,2850000
Multi-family home for sale,Bronx County,3,3950 Hill Ave,2375,2.373860858,680000
Co-op for sale,New York,1,16 Park Ave # 8C,2184.207862,1,530000
Pending,New York,1,210 Sixth Ave Unit 1G,2184.207862,1,595000
Co-op for sale,Queens,2,33-55 14th St Unit 4A,2184.207862,1,475000
Multi-family home for sale,Kings County,16,59 Newell St,8000,8,2700000
Multi-family home for sale,Bronx County,8,99 W 163rd St,2028,5,900000
House for sale,Kings County,3,467 82nd St,1683,1,1049000
Multi-family home for sale,Queens County,7,153-41 Sapphire St,2184.207862,5,995000
Co-op for sale,Brooklyn,1,7200 Ridge Blvd Unit 409,550,1,245000
Condo for sale,Brooklyn,2,601 Surf Ave Apt 8C,1080,2,695000
Contingent,Richmond County,2,43 Purdy Pl,912,1,436000
Condo for sale,Queens County,2,7613 Ditmars Blvd Unit A2,2184.207862,1,555000
Multi-family home for sale,Queens County,11,10-41 115th St,2184.207862,6,1250000
Co-op for sale,New York,2,1 W 67th St Unit 616,2184.207862,2,4950000
Multi-family home for sale,Kings County,3,223 43rd St,1640,4,928000
House for sale,Queens County,3,117-75 141st St,2184.207862,2,725000
Pending,Queens County,2,66-43 Alderton St,1700,2,938000
Co-op for sale,Brooklyn,1,2607 Avenue O Apt 4A,550,1,199000
Multi-family home for sale,Bronx County,6,2671 Bainbridge Ave,2184.207862,2,854000
House for sale,Kings County,4,229 Monroe St,2184.207862,2,1439000
Contingent,New York,1,152 E 83rd St Apt 5D,2184.207862,1,389000
Co-op for sale,Kings County,2,2260 Benson Ave Apt 1L,975,1,475000
Condo for sale,Brooklyn,2,2652 E 18th St Unit 2A,1000,2,815000
Condo for sale,Brooklyn,2,848 43rd St Apt 22,750,1,474000
Condo for sale,New York,2,300 W 18th St Unit 2,1572,2,2350000
Co-op for sale,New York,2,260 W End Ave Apt 7A,1250,2,1325000
House for sale,New York County,8,160 E 105th St,5110,5,6600000
Co-op for sale,Brooklyn,2,800 E 17th St Apt 4A,800,1,590000
Condo for sale,Brooklyn,2,601 Surf Ave Apt 8C,1080,2,695000
Condo for sale,New York,1,21 S End Ave Apt 435,673,1,610000
Pending,Queens County,3,44-11 192nd St,1550,2,1238000
Multi-family home for sale,Kings County,4,941 E 46th St,2184.207862,2,789000
Contingent,Richmond County,3,94 Lorraine Ave,1870,2,699888
Multi-family home for sale,Bronx County,6,2671 Bainbridge Ave,2184.207862,2,854000
Condo for sale,New York,1,117 E 57th St Units 34 & 35C,1066,2,1299000
House for sale,Richmond County,4,40 Princeton Ln,1496,2,632000
Co-op for sale,Queens County,2,67-66 108th St Unit B47,2184.207862,1,499000
House for sale,Richmond County,4,40 Princeton Ln,1496,2,632000
Pending,New York,2,365 W 20th St Apt 9C,2184.207862,1,895000
Condo for sale,Brooklyn,2,1240 Bedford Ave Apt 1F,850,1,800000
Condo for sale,Brooklyn,1,190 Lefferts Pl Apt 5,696,1,725000
Co-op for sale,Queens,1,111-39 76th Rd Unit F7,900,1,349500
Co-op for sale,New York,2,2790 Broadway Apt 5A,2184.207862,1,625000
Multi-family home for sale,Queens County,5,22-08 Greene Ave,2184.207862,3,1090000
Multi-family home for sale,Queens County,6,112-18 38 Ave,2184.207862,3,1348000
Co-op for sale,New York,3,829 Park Ave Apt 11B,2184.207862,2,2975000
Co-op for sale,Queens,1,42-42 Colden St Unit 622,2184.207862,1,280000
Co-op for sale,Queens,1,89-20 55 Ave Unit 1L,2184.207862,1,259000
Condo for sale,New York,3,205 E 68th St Apt 3D,446,1,550000
Condo for sale,New York County,4,7 Bond St,2184.207862,3,12495000
Multi-family home for sale,Kings County,5,206 Vanderbilt Ave,2184.207862,6,4800000
Co-op for sale,Queens,3,141-10 25th Rd Unit 4B,1000,1,398000
Co-op for sale,New York,2,33 Alden Park Unit 33,850,1,329000
Co-op for sale,Brooklyn,1,8701 Shore Rd Apt 432,2184.207862,1,385000
Multi-family home for sale,Kings County,9,37 Sheridan Ave,2184.207862,3,1325000
House for sale,Richmond County,3,107 McVeigh Ave,2845,2,968000
Co-op for sale,Queens,1,61-15 97 St Unit 12D,2184.207862,1,350000
Pending,New York,3,171 W 57th St Apt 11B,2900,4,2750000
Condo for sale,Queens,1,64-48 Booth St Unit 1E,785,1,498000
Townhouse for sale,Kings County,5,841 Willoughby Ave,2100,2,1675000
Co-op for sale,New York,3,111 Fourth Ave Unit 12A,2184.207862,1,525000
Co-op for sale,Brooklyn,1,2940 Ocean Ave Apt A7,850,1,280000
House for sale,Queens County,4,120-09 Linden Blvd,2184.207862,2,849000
Condo for sale,New York,1,389 E 89th St Apt 15A,855,1,1250000
Condo for sale,The Bronx,3,753B Saint Anns Ave Unit 52B,2184.207862,2,359999
Co-op for sale,Queens,1,21-16 35th St Unit 1B,2184.207862,1,229000
Land for sale,Bronx County,3,667 W 246th St,2184.207862,2.373860858,1002500
Co-op for sale,New York,3,22 E 18th St Apt 4E,2184.207862,2,3995000
Multi-family home for sale,Richmond County,6,91 Alter Ave,3450,4,1499000
Condo for sale,New York,3,330 E 38th St Apt 41N,1699,3,2649000
Condo for sale,Brooklyn,2,12205 Flatlands Ave Apt 3H,919,1,385000
Co-op for sale,New York,1,205 W 54th St Apt 5D,2184.207862,1,695000
Multi-family home for sale,Bronx County,7,1746 Anthony Ave,4140,2,1799000
Condo for sale,Queens County,3,45-30 Pearson St,2184.207862,2.373860858,585000
Pending,Queens County,4,1307 157th St,2880,3,1688000
Condo for sale,The Bronx,3,753B Saint Anns Ave Unit 52B,2184.207862,2,359999
Co-op for sale,Brooklyn,1,2913 Foster Ave Apt 2F,600,1,179000
Co-op for sale,Queens,1,21-16 35th St Unit 1B,2184.207862,1,229000
Condo for sale,New York,3,235 E 55th St Unit 43AB,1638,3,2100000
Townhouse for sale,Bronx County,3,3217 Radcliff Ave,1664,2.373860858,615000
Co-op for sale,Brooklyn,1,2400 E 3rd St Apt 228,800,1,323000
Condo for sale,Queens County,1,44-15 Purves St Unit 14B,713,1,880000
Land for sale,Kings County,3,34 Brighton 4th Walk,2184.207862,2.373860858,675000
Condo for sale,New York County,2,50 W 127th St # B,1334,2,1500000
Co-op for sale,New York,3,150 E 61st St Apt 5K,2184.207862,1,425000
Co-op for sale,New York,4,132 E 35th St # 16GH,2184.207862,4,2175000
Co-op for sale,New York,2,515 E 79th St Apt 6A,1200,2,1296000
Co-op for sale,New York,4,129 W 70th St Unit 1,3111,3,3395000
Co-op for sale,Brooklyn,2,2675 Ocean Ave Apt 3B,1100,1,450000
Condo for sale,Queens,3,103-06 Rockaway Beach Blvd Unit 3C,1770,2,649000
Pending,New York,2,130 W 26th St Apt 3,2000,2,1295000
Pending,Brooklyn,2,21 Monroe Pl Apt 3FL,2184.207862,2,1775000
Co-op for sale,Brooklyn,2,2461 E 29th St Apt 3F,900,1,265000
Condo for sale,New York,2,15 W 61st St Apt 22B,2184.207862,2,3595000
Pending,Queens County,2,102-42 63rd Ave,2184.207862,2,769000
Multi-family home for sale,Bronx County,9,307 E 162nd St,3318,3,1350000
Multi-family home for sale,Queens County,4,117-63 140th St,2184.207862,2,797777
Pending,Kings County,6,168 Lafayette Ave,4734,2.373860858,4650000
Pending,Queens County,4,135-30 94th St,1536,2,680000
House for sale,Queens County,4,10-18 Beach 22nd St,2184.207862,2,549000
Pending,New York County,5,164 E 70th St,2184.207862,2.373860858,13650000
House for sale,Kings County,3,4593 Kings Hwy,1400,2,749000
Co-op for sale,Brooklyn,3,1953 65th St Apt 3A,900,1,398000
Condo for sale,Queens,2,90-20 55th Ave Unit 4A,847,2,680000
Co-op for sale,Queens,2,34-47 82nd St Unit 1,2184.207862,1,499000
Townhouse for sale,Kings County,4,571 17th St,1360,2,2250000
Pending,Richmond County,3,9 Zoe St,1520,2,550000
Townhouse for sale,New York County,6,325 E 14th St,7868,2.373860858,4995000
Pending,New York,5,64 E 86th St # 10BA,2500,2,2650000
House for sale,New York,3,60 Warren St Fl 3,4108,3,7188000
Townhouse for sale,Bronx County,14,797 Fairmount Pl Unit Building,6375,7,1500000
Co-op for sale,Brooklyn,1,40 Prospect Park W Apt 3G,2184.207862,1,999000
Condo for sale,Queens,2,214-11 35th Ave Unit 3A,868,2,799000
Condo for sale,Flushing,1,40-22 61st St Unit 2K,2184.207862,1,699000
Co-op for sale,New York,2,401 E 74th St Apt 14A,2184.207862,1,940000
Townhouse for sale,Kings County,2,168 Plymouth St # Thc,2484,2,3460000
Condo for sale,New York,2,233 E 86th St Apt 14C,2184.207862,2,1395000
House for sale,Bronx County,3,3312 Paulding Ave Unit A,1575,2,629000
Townhouse for sale,Kings County,4,343 Prospect Ave,1725,2.373860858,2850000
Co-op for sale,Brooklyn,1,40 Prospect Park W Apt 3G,2184.207862,1,999000
Townhouse for sale,Bronx County,14,797 Fairmount Pl Unit Building,6375,7,1500000
Co-op for sale,New York,2,401 E 74th St Apt 14A,2184.207862,1,940000
Co-op for sale,New York,3,24 Central Park S # 3W,2184.207862,4,2995000
Co-op for sale,New York,2,1 E 66th St Unit 2A,2184.207862,2,2750000
Townhouse for sale,Bronx County,9,1829 Topping Ave,3944,3,1100000
Co-op for sale,New York,2,45 E 72nd St Apt 8B,2184.207862,2,1395000
Pending,Richmond County,3,245 Doane Ave,1392,3,599000
Condo for sale,New York,2,233 E 86th St Apt 14C,2184.207862,2,1395000
Multi-family home for sale,Queens County,6,75-21 67th Rd,2184.207862,2,1049000
Condo for sale,New York,2,15 Hudson Yards Apt 34A,1778,2,4250000
Co-op for sale,New York,3,205 E 63rd St Apt 6B,1700,2,925000
Condo for sale,Brooklyn,2,526 Union Ave Ph 1,1035,2,1695000
Condo for sale,Queens,1,37-32 89th St Unit 1A,958,1,599000
Co-op for sale,New York,2,860 Fifth Ave Unit 7F,1350,2,1250000
Condo for sale,Brooklyn,3,55 Greene Ave Ste 2B,923,2.373860858,610000
Multi-family home for sale,Queens County,8,204-20 46 Ave,2700,5,2299000
House for sale,New York County,3,219 E 115th St,2184.207862,2.373860858,1350000
Co-op for sale,New York,4,870 United Nations Plz Units 31 & 32F,3600,4,2395000
House for sale,Queens County,13,37-02 31st Ave Unit Building,2184.207862,8,3750000
Condo for sale,Queens,2,14-50 110th St Unit E301,1545,2,1080000
Pending,Brooklyn,2,256 S 4th St Apt 6,2184.207862,1,450000
Multi-family home for sale,Kings County,10,1102 Ovington Ave,5200,2.373860858,2250000
Co-op for sale,Queens,3,9737 63rd Rd Apt 9E,1150,2,588888
Co-op for sale,Queens,2,160-10 89th Ave Unit 15L,2184.207862,1,279000
Condo for sale,Brooklyn,2,9511 Shore Rd Apt 602,1080,1,1199000
House for sale,Bronx County,3,3401 Fort Independence St,1276,2,1390000
Multi-family home for sale,Kings County,6,1240 E 48th St,2400,3,1150000
Co-op for sale,New York,4,230 Central Park W Apt 3A,2184.207862,4,6350000
Condo for sale,The Bronx,2,3625 Oxford Ave Apt 6B,1013,2,650000
House for sale,Kings County,3,524 Thomas S Boyland St,1340,2,599999
Co-op for sale,The Bronx,2,5900 Arlington Ave Apt 5H,950,1,395000
Co-op for sale,Queens,1,33-15 81st St Unit 4D,700,1,299000
Condo for sale,Queens,2,85-09 151st Ave Unit 1H,1113,2,549000
Condo for sale,Brooklyn,2,460 Manhattan Ave Apt 2B,1066,2,1350000
Condo for sale,Queens,1,52-16 Roosevelt Ave Unit 3A,571,1,499000
Condo for sale,Queens,2,3 Court Sq W Unit 403,1026,2,1351242
Co-op for sale,Brooklyn,2,2547 W 2nd St Apt 2J,830,1,249000
Condo for sale,Brooklyn,1,44 Euclid Ave Apt 1A,1096,2,479000
Condo for sale,Brooklyn,3,65 Oceana Dr E Apt 8D,1757,2,1899000
Co-op for sale,Queens,1,85-15 Main St Unit 12N,694,1,275000
Condo for sale,New York,2,243 W 60th St Apt 5F,1711,2,2150000
Co-op for sale,New York,3,1192 Park Ave # 5D,1950,3,1999000
House for sale,Kings County,5,8407 15th Ave,2580,2.373860858,1588000
Townhouse for sale,Kings County,7,140 Hoyt St,2976,4,3200000
Co-op for sale,New York,2,969 Park Ave # 12F,2184.207862,2,1999000
Condo for sale,Queens,2,27-28 Thomson Ave Unit 422,1574,2,1745000
House for sale,Richmond County,3,141 Beacon Ave,2886,2,1488000
Condo for sale,New York,1,507 E 80th St Apt 1R,1444,2,1494000
Multi-family home for sale,Kings County,6,626 Ovington Ave,2664,2,1108900
Multi-family home for sale,Kings County,3,405 Sackett St,3040,4,3200000
House for sale,Richmond County,3,64 Baltic Ave,1110,2,650000
Townhouse for sale,Kings County,12,732 Prospect Pl,8049,8,2050000
Multi-family home for sale,Kings County,19,1902 8th Ave,5890,8,1998000
House for sale,Richmond County,5,17 Lansing St,2755,4,1250000
Co-op for sale,New York,2,402 E 74th St Apt 4B,1000,1,749000
Contingent,Richmond County,3,23 Arielle Ln Unit A,301,1,235000
Multi-family home for sale,Bronx County,13,943 Croes Ave,5250,7,1215000
Co-op for sale,Queens,1,110-50 71 Rd Unit 3L,2184.207862,1,399000
Co-op for sale,New York,2,311 W 83rd St Apt 5A,1400,2,2465000
Co-op for sale,New York,2,64 E 94th St Apt 4E,2184.207862,2,1200000
Co-op for sale,New York,3,54 E 8th St Apt 3L,475,1,439000
Condo for sale,Brooklyn,2,68 Eldert St # 3B,930,2,975000
Townhouse for sale,Kings County,6,114 Patchen Ave,2184.207862,4,1499000
Condo for sale,Snyder Avenue,3,2501 Snyder Ave Unit 3E,1050,1,650000
Townhouse for sale,Kings County,8,489 7th Ave Unit Townhouse,3900,4,2550000
House for sale,New York County,6,18 W 127th St,5000,5,3200000
Condo for sale,New York,4,269 W 87th St Apt 8A,2743,4,1999999
Condo for sale,Brooklyn,1,2654 E 18th St Unit 2D,518,1,460000
Condo for sale,Kings County,2,218 Classon Ave,1003,2,1395000
Co-op for sale,Queens,1,150-29 70 Rd Unit 30A,2184.207862,1,290000
Multi-family home for sale,Queens County,6,204-16 46 Ave,2100,5,1990000
Townhouse for sale,Kings County,6,253 Windsor Pl Unit Townhouse,3210,3,2980000
House for sale,New York,2,18 Leonard St Apt 6B,2046,2,3498000
House for sale,Richmond County,7,6659-6675 Amboy Rd,4950,6,2595000
Pending,Queens County,2,217-10 135th Ave,2184.207862,2,599889
Condo for sale,New York,2,25 Columbus Cir # 69F,1283,2,3995000
Multi-family home for sale,Kings County,3,851 Glenmore Ave,1560,2.373860858,589000
Co-op for sale,Queens,3,110-11 Queens Blvd Unit 15B,1800,2,1139000
Multi-family home for sale,Kings County,3,221 Nassau Ave,4725,5,4500000
Condo for sale,Brooklyn,2,461 Carroll St Unit 1,1927,2,2695000
Co-op for sale,The Bronx,1,2191 Bolton St Apt 5D,728,1,125000
Condo for sale,New York,1,300 W 135th St Apt 4L,692,1,625000
House for sale,Kings County,4,1400 E 98th St,2184.207862,3,775000
Co-op for sale,New York,1,305 W 86th St Unit 3C,2184.207862,1,635000
Multi-family home for sale,Kings County,9,312 83rd St,4164,5,2375000
Co-op for sale,Brooklyn,1,9411 Shore Rd Apt 4K,1050,1,545000
Condo for sale,Brooklyn,1,727 Ocean View Ave Apt D3,935,1,599000
Co-op for sale,Flushing,2,102-40 67 Dr Unit 1D,1200,2,538000
Condo for sale,Staten Island,2,1000 Clove Rd Apt 8C,900,1,342990
Co-op for sale,New York,2,33 W 67th St Unit 4RW,1600,2,1500000
House for sale,Kings County,3,1819 Burnett St,1700,2,939000
Condo for sale,New York,4,2628 Broadway Apt 12A,2263,3,3150000
Multi-family home for sale,Kings County,6,767 47th St,2146,3,1750000
Co-op for sale,New York,3,317 W 54th St Apt 2E,2184.207862,1,360000
House for sale,Kings County,3,802 Herkimer St,2200,3,720000
House for sale,Kings County,5,1206 Tabor Ct,1728,3,1199999
House for sale,Queens County,3,190-45 112th Ave,1400,2.373860858,710000
Co-op for sale,Brooklyn,1,1200 E 53rd St Apt 7V,700,1,200000
Co-op for sale,Brooklyn,2,70 Lenox Rd Apt D2,1400,2,699000
House for sale,Kings County,5,1206 Tabor Ct,1728,3,1199999
House for sale,Kings County,3,1819 Burnett St,1700,2,939000
Multi-family home for sale,Brooklyn,24,491 E 45th St Unit 16,12720,16,3000000
Co-op for sale,The Bronx,3,5700 Arlington Ave Unit 2MN,1200,2,559000
Multi-family home for sale,Richmond County,5,153 Wellbrook Ave,2552,4,1050000
Condo for sale,New York,3,325 Fifth Ave Unit 36A,1500,3,2649000
Co-op for sale,New York,1,609 Columbus Ave Apt 14K,2184.207862,1,614000
Condo for sale,Queens,2,1904 Harman St Apt 4A,787,2,925000
Condo for sale,Queens,3,43-20 Union St Unit 7D,2184.207862,2,800000
Condo for sale,Brooklyn,1,1229 Putnam Ave Apt 2D,579,1,559000
Condo for sale,New York,1,10 Little West St Apt 20D,807,2,999999
Co-op for sale,Brooklyn,1,1625 Emmons Ave Apt 1A,700,1,269000
Condo for sale,Brooklyn,2,1238 63rd St Apt D436,1054,2,838000
Multi-family home for sale,Queens County,15,60-01 Metropolitan Ave,8460,10,2350000
Co-op for sale,Queens,1,85-10 151 Ave Unit 2H,792,1,220000
Condo for sale,New York,1,200 E 58th St Apt 14C,550,1,729000
Condo for sale,New York,3,301 W 53rd St Apt 19A,1039,2,2045000
Condo for sale,Queens County,2,219 Constitution Pl Apt B,1258,2,749000
Co-op for sale,Queens,1,89-15 Parson Blvd Unit 1B,2184.207862,1,189000
Pending,Brooklyn,1,7101 Shore Rd Apt 3D,775,1,399000
Co-op for sale,New York,1,6300 Riverdale Ave Apt 6C,800,1,250000
Condo for sale,New York,2,160 W 66th St Apt 57C,1978,2,3695000
Multi-family home for sale,Richmond County,3,233 Tompkins Ave,2240,2,680000
Multi-family home for sale,Kings County,14,320 61st St,5100,6,1195000
Condo for sale,New York,3,301 W 53rd St Apt 19A,1039,2,2045000
Multi-family home for sale,Queens County,8,64-17 35 Ave,2184.207862,4,1599999
Co-op for sale,Brooklyn,2,275 Webster Ave Apt 1B,900,1,495000
Pending,Brooklyn,1,80 Avenue P Apt B1,875,1,314000
Co-op for sale,Queens,1,1141 McBride St Apt 4A,2184.207862,1,165000
Condo for sale,New York,2,77 E 110th St Apt 7A,1033,2,950000
House for sale,Kings County,3,838 Lenox Rd,2184.207862,2,975000
Co-op for sale,Queens,1,27110 Grand Central Pkwy Apt 6A,1074,2,449000
Townhouse for sale,Kings County,7,497 Madison St,4100,2.373860858,2995000
Co-op for sale,Brooklyn,1,145 72nd St Apt D14,775,1,325000
Condo for sale,New York,2,135 E 54th St Apt 14M,1094,2,1599000
House for sale,Queens County,3,114-30 202nd St,2000,2,649000
Condo for sale,New York,1,25 Fifth Ave Apt 5G,703,1,1850000
Condo for sale,New York,1,20 Pine St Apt 2504,1220,2,1395000
Condop for sale,New York,1,310 E 46th St Apt 23U,2184.207862,1,1080000
Co-op for sale,Queens County,1,67-50 Thornton Pl Unit 6B,2184.207862,1,309000
Multi-family home for sale,Kings County,8,2917 Brighton 5th St,2636,3,1499000
Co-op for sale,Queens,1,151-25 88th St Unit 3G,2184.207862,1,179000
Contingent,New York,3,3 Sheridan Sq Apt 2K,2184.207862,1,595000
House for sale,Kings County,3,1495 E 95th St,1656,3,849000
Multi-family home for sale,Queens County,14,36-33 169th St,2184.207862,9,2780000
Condo for sale,Brooklyn,2,2025 Ocean Ave # 6A,1230,2,759000
Pending,Staten Island,3,30 Stonegate Dr Unit 1,1652,2.373860858,549999
Condo for sale,Brooklyn,2,710 Metropolitan Ave Apt 5E,2184.207862,2,1750000
Condo for sale,New York,3,1295 Madison Ave Apt 5A,2184,4,4995000
House for sale,Kings County,12,1115 Putman Ave,2184.207862,4,1400000
Contingent,Brooklyn,3,710 Metropolitan Ave Apt 2H,2184.207862,1,725000
Co-op for sale,Brooklyn,2,2450 Haring St Apt 1F,1000,1,249000
Pending,Queens,2,80-04 155th Ave Unit 207,2184.207862,1,245000
Condo for sale,Brooklyn,1,490 Lorimer St Unit 1A,1218,2,1500000
Condo for sale,New York,2,122 E 102nd St Apt 2B,959,1,695000
House for sale,Kings County,3,838 Lenox Rd,2184.207862,2,975000
Co-op for sale,Brooklyn,1,145 72nd St Apt D14,775,1,325000
Condo for sale,New York,5,1965 Broadway Apt 28E,4134,6,15500000
House for sale,Queens County,3,114-30 202nd St,2000,2,649000
Co-op for sale,New York,2,10 W 66th St Apt 30D,1700,2,1995000
Condo for sale,Queens,3,132-37 Pople Ave Unit 3A,2184.207862,2,655000
Condo for sale,Brooklyn,2,2025 Ocean Ave # 6A,1230,2,759000
Townhouse for sale,Kings County,6,17 Suydam St Unit Mf,3300,4,1799000
Condo for sale,New York,2,210 Lafayette St Ph 6G,1509,2,3250000
Co-op for sale,New York,1,170 W 81st St Apt 5B,750,1,750000
Townhouse for sale,Kings County,5,1212A Greene Ave Unit Townhouse,2184.207862,3,1495000
Condo for sale,Queens,1,44-15 College Point Blvd Unit 3A,2184.207862,1,658000
Co-op for sale,Queens,2,102-30 66th Rd Unit 20B,2184.207862,1,395000
Townhouse for sale,Kings County,4,597 E 8th St,2487,2,1999000
