type,location,bed,address,total_sqft,bath,price
Condo for sale,New York,2,340 Cabrini Blvd Apt 501,1005,2,850000
For sale,New York,2,635 W 170th St Apt 4F,2184.207862,1,2494
Condo for sale,Brooklyn,1,1368 E 92nd St Unit 300,2184.207862,1,99000
Co-op for sale,Brooklyn,1,192 E 8th St Apt 1C,750,1,535000
Multi-family home for sale,Richmond County,4,358 Lamoka Ave,2342,2,849998
For sale,New York,2,2235 Frederick Douglass Blvd Apt 7K,2184.207862,2,1100000
Multi-family home for sale,Queens County,5,60-17 59th Ave,1574,3,998000
Multi-family home for sale,Kings County,3,3115 Glenwood Rd,2184.207862,2,1500000
Multi-family home for sale,Bronx County,6,1779 Edenwald Ave,2860,3,875000
Condo for sale,New York County,1,456 W 19th St Units 4 & 5C,1144,2,2350000
Multi-family home for sale,Bronx County,5,4346 Edson Ave,1908,2,850000
For sale,New York,3,445 Lafayette St Apt 14A,2248,2.373860858,4000000
Co-op for sale,New York,3,955 Lexington Ave Unit 5C,2184.207862,2,1200000
Condo for sale,New York County,4,67 Franklin St # A,3809,4,12000000
Co-op for sale,New York,2,269 W 87th St Apt 6C,2184.207862,2,1300000
For sale,New York,3,240 Riverside Blvd Apt 3P,585,1,799000
Co-op for sale,New York,3,314 E 41st St Apt 303B,250,1,339000
Multi-family home for sale,Bronx County,7,1126 Ward Ave,2680,5,875000
Multi-family home for sale,Bronx County,7,1341 Fteley Ave,2296,2,799000
Multi-family home for sale,Bronx County,7,1341 Fteley Ave,2296,2,799000
House for sale,Queens County,2,102-15 215 St,1380,1,285000
Multi-family home for sale,Kings County,5,181 Park Ave,1340,4,2499000
Townhouse for sale,New York County,4,42 Adrian Ave,1440,2,795000
Co-op for sale,New York,2,207 E 74th St Unit 8M,2184.207862,2,1799995
House for sale,Queens County,3,164-31 99 St,1224,2.373860858,250000
For sale,New York,3,220 Riverside Blvd Apt 24G,3000,3,5999000
Pending,Queens County,3,88-08 Gettysburg St,1606,2,668000
House for sale,Richmond County,3,102 Lamberts Ln,1470,2,699900
Townhouse for sale,Kings County,4,75 2nd Pl,4600,4,5295000
Condo for sale,New York,2,252 South St Unit 26L,1123,2,2265000
Co-op for sale,Queens,2,142-05 Roosevelt Ave Unit 435,950,1,459000
Multi-family home for sale,Richmond County,4,7 Stalie Ct,2900,2.373860858,1369000
House for sale,Queens County,4,87-45 253rd St,2184.207862,2,879000
Condo for sale,Manhattan,1,161 E 110th St Apt 6G,679,1,559000
Multi-family home for sale,Queens County,4,86-27 125th St,2184.207862,3,869888
House for sale,Queens County,3,62-24 65 St,2184.207862,2,799888
House for sale,Richmond County,4,29 Canterbury Ave,1040,1,749000
House for sale,Queens County,2,119-44 193rd St,2184.207862,3,499000
House for sale,New York,3,269 W 87th St Apt 7B,2193,4,1295000
Pending,Richmond County,3,640 Sheldon Ave,2242,2,879900
Co-op for sale,Bronx County,2,8 Magnolia Pl # 8,1150,2,400000
Multi-family home for sale,Bronx County,6,1839 Andrews Ave,2184.207862,2.373860858,699999
Condo for sale,Brooklyn,1,1065 Vermont St Apt 4G,666,1,289000
Condo for sale,Brooklyn,1,435 Tompkins Ave Unit 305,616,1,699000
Land for sale,Brooklyn,3,4515 Avenue N Lot 5,2184.207862,2.373860858,5800
Foreclosure,Richmond County,6,16 Renfrew Pl,3100,2,479000
Condo for sale,Brooklyn,2,435 Tompkins Ave Unit 703,1002,2,1355000
Condo for sale,Brooklyn,2,435 Tompkins Ave Unit 602,882,2,1225000
Foreclosure,New York,4,960 Park Ave Units 3W & 4C,4531,6,9999000
Co-op for sale,The Bronx,3,2191 Bolton St Apt 5E,656,1,105000
House for sale,New York,3,5423 Avenue M,952,1,300000
Multi-family home for sale,Bronx County,5,232 Throggs Neck Blvd,2400,3,799000
Co-op for sale,Queens,2,18-70 211 St Unit 2A,1453,1,202000
Contingent,Richmond County,3,190 Chestnut Ave,1430,2,720000
House for sale,Kings County,5,392 E 7th St,2184.207862,2,600000
Co-op for sale,Brooklyn,3,7901 4th Ave Apt F7,1200,1,599000
Condo for sale,Staten Island,2,162 Arlo Rd Unit A,860,1,235000
Co-op for sale,Queens County,3,58-42 251st St Unit 190,960,1,319000
Multi-family home for sale,Queens County,12,18-29 George St,2184.207862,6,950000
Multi-family home for sale,Queens County,4,15-03 201st St,2184.207862,2,1088888
House for sale,Richmond County,4,24 Gianna Ct,3300,4,1250000
Land for sale,Kings County,3,2998 Fulton St,2184.207862,2.373860858,650000
House for sale,Richmond County,3,417 Genesee Ave,960,2,774888
Co-op for sale,The Bronx,1,60 Knolls Cres Apt 8F,650,1,105509
Multi-family home for sale,Kings County,5,544 Madison St,2184.207862,2,995000
Multi-family home for sale,Kings County,5,544 Madison St,2184.207862,2,995000
House for sale,Bronx County,4,4322 E Tremont Ave,1728,2,769000
Co-op for sale,The Bronx,2,5601 Riverdale Ave Apt 2B,1100,1,395995
For sale,New York,1,235 E 55th St Apt 45B,900,2,975000
House for sale,Bronx County,2,616 City Island Ave,1744,1,499999
Co-op for sale,New York,2,165 W End Ave Apt 7N,2184.207862,2,1649000
Co-op for sale,Queens,2,83-40 Austin St Unit 3E,2184.207862,1,365000
Pending,Richmond County,3,122 North Dr,1620,2,748999
House for sale,Queens County,3,118-14 201st Pl,2184.207862,2,635000
